name,squad_size,stadium_name,net_transfer_record,average_age,foreigners_number,national_team_players
Bayern Munich,29.0,Allianz Arena,+€15.00m,25.8,18.0,22.0
FC Barcelona,24.0,Spotify Camp Nou,+€32.00m,25.8,13.0,19.0
Real Madrid,24.0,Santiago Bernabéu,€-128.50m,26.6,16.0,19.0
Manchester City,25.0,Etihad Stadium,+€10.90m,26.7,16.0,18.0
Juventus FC,35.0,Allianz Stadium,€-39.60m,25.7,19.0,16.0
Celtic FC,32.0,Celtic Park,+€15.07m,25.3,25.0,16.0
Paris Saint-Germain,39.0,Parc des Princes,€-128.00m,25.2,26.0,21.0
SL Benfica,27.0,Estádio da Luz,€-28.32m,24.6,15.0,11.0
Atlético de Madrid,30.0,Civitas Metropolitano,+€43.30m,27.4,17.0,17.0
Olympiacos Piraeus,36.0,Stadio Georgios Karaiskakis,+€4.50m,26.6,26.0,15.0
Ajax Amsterdam,22.0,Johan Cruijff ArenA,+€55.90m,23.5,8.0,13.0
FC Porto,30.0,Estádio do Dragão,€-7.90m,26.2,16.0,8.0
Chelsea FC,31.0,Stamford Bridge,+€141.90m,23.3,20.0,17.0
SSC Napoli,30.0,Stadio Diego Armando Maradona,+€17.50m,25.4,17.0,17.0
PSV Eindhoven,23.0,Philips Stadion,€-9.63m,25.4,12.0,7.0
Liverpool FC,22.0,Anfield,€-51.30m,26.3,17.0,14.0
Manchester United,35.0,Old Trafford,€-91.20m,25.3,22.0,21.0
Arsenal FC,33.0,Emirates Stadium,€-211.70m,25.1,25.0,23.0
Borussia Dortmund,30.0,SIGNAL IDUNA PARK,+€59.35m,24.7,15.0,18.0
Sevilla FC,32.0,Ramón Sánchez-Pizjuán,€-10.00m,27.9,21.0,11.0
Sporting CP,31.0,Estádio José Alvalade XXI,+€84.00m,24.2,17.0,9.0
Shakhtar Donetsk,36.0,Arena Lviv,€-8.75m,23.0,10.0,13.0
Tottenham Hotspur,32.0,Tottenham Hotspur Stadium,€-124.70m,26.0,22.0,21.0
Inter Milan,27.0,Giuseppe Meazza,+€80.75m,26.0,15.0,15.0
PAOK Thessaloniki,29.0,Toumba Stadium,+€3.00m,26.3,20.0,7.0
AS Roma,25.0,Olimpico di Roma,+€36.20m,26.7,17.0,16.0
Zenit St. Petersburg,26.0,Gazprom Arena,+€37.30m,26.0,11.0,11.0
Feyenoord Rotterdam,25.0,"Stadion Feyenoord ""De Kuip""",+€18.30m,23.2,12.0,12.0
SS Lazio,32.0,Olimpico di Roma,+€22.04m,26.5,18.0,7.0
Dynamo Kyiv,34.0,Valeriy Lobanovsky Stadion,+-0,24.5,5.0,8.0
SC Braga,28.0,Estádio Municipal de Braga,€-10.30m,26.0,17.0,3.0
AC Milan,33.0,Giuseppe Meazza,€-26.50m,25.8,26.0,17.0
Fenerbahce,36.0,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,+€17.24m,25.7,16.0,15.0
FC Copenhagen,28.0,Parken,+€11.63m,25.0,17.0,9.0
AZ Alkmaar,31.0,AFAS Stadion,+€36.17m,23.0,12.0,6.0
Bayer 04 Leverkusen,28.0,BayArena,+€12.50m,24.3,19.0,14.0
Besiktas JK,32.0,Vodafone Park,€-3.75m,25.0,13.0,12.0
Olympique Lyon,24.0,Groupama Stadium,+€19.91m,25.5,12.0,4.0
CSKA Moscow,27.0,VEB Arena,+€3.70m,24.2,10.0,6.0
Club Brugge KV,32.0,Jan-Breydel-Stadion,+€24.25m,23.9,20.0,11.0
Galatasaray,32.0,Ali Sami Yen Spor Kompleksi RAMS Park,€-9.50m,25.1,15.0,15.0
Villarreal CF,24.0,La Cerámica,+€98.20m,28.3,8.0,5.0
FC Midtjylland,29.0,MCH Arena,€-7.10m,24.9,18.0,7.0
Aberdeen FC,22.0,Pittodrie Stadium,+€1.72m,25.0,15.0,4.0
AS Monaco,28.0,Stade Louis-II,€-4.00m,23.8,28.0,10.0
Valencia CF,25.0,Mestalla,€-9.60m,24.0,12.0,8.0
Olympique Marseille,25.0,Orange Vélodrome,€-34.50m,26.0,18.0,15.0
Rangers FC,34.0,Ibrox Stadium,€-11.90m,26.3,24.0,10.0
Atalanta BC,35.0,Gewiss Stadium,+€5.50m,25.7,23.0,14.0
ACF Fiorentina,30.0,Artemio Franchi,+€19.20m,25.7,17.0,9.0
Athletic Bilbao,28.0,San Mamés,+-0,26.6,1.0,3.0
Real Sociedad,27.0,Reale Arena,+€6.30m,24.4,5.0,7.0
Panathinaikos Athens,29.0,Apostolos Nikolaidis,€-3.00m,27.9,22.0,10.0
FK Krasnodar,22.0,Stadion Krasnodar,+€3.28m,24.1,11.0,6.0
RSC Anderlecht,29.0,Lotto Park,+€12.50m,23.3,14.0,10.0
KRC Genk,28.0,Cegeka Arena,€-10.50m,22.9,19.0,10.0
Borussia Mönchengladbach,33.0,Stadion im Borussia-Park,€-4.28m,24.5,17.0,9.0
Trabzonspor,30.0,Şenol Güneş Spor Kompleksi,€-4.22m,24.8,13.0,12.0
Spartak Moscow,30.0,Otkrytie Bank Arena,€-9.00m,24.5,9.0,12.0
Eintracht Frankfurt,40.0,Deutsche Bank Park,€-34.90m,24.4,24.0,13.0
VfL Wolfsburg,29.0,Volkswagen Arena,+€3.50m,23.8,18.0,11.0
AEK Athens,31.0,OPAP Arena,€-5.85m,26.9,21.0,13.0
Lokomotiv Moscow,29.0,RZD Arena,+€1.53m,23.7,5.0,9.0
LOSC Lille,24.0,Decathlon Arena-Stade Pierre-Mauroy,€-10.20m,23.8,15.0,8.0
Vitesse Arnhem,23.0,GelreDome,+-0,23.9,11.0,4.0
KAA Gent,25.0,Ghelamco Arena,+€6.57m,25.4,11.0,3.0
Bröndby IF,30.0,Brøndby Stadion,+€5.95m,24.3,13.0,4.0
RB Leipzig,29.0,Red Bull Arena,+€24.70m,24.6,21.0,19.0
Basaksehir FK,29.0,Başakşehir Fatih Terim,+-0,26.8,15.0,9.0
Everton FC,26.0,Goodison Park,+€34.80m,27.1,14.0,9.0
OGC Nice,26.0,Allianz Riviera,€-24.50m,24.0,14.0,12.0
FC Utrecht,31.0,"Stadion ""Galgenwaard""",€-4.35m,25.2,16.0,4.0
Real Betis Balompié,27.0,Benito Villamarín,+€14.50m,28.2,14.0,8.0
Stade Rennais FC,29.0,Roazhon Park,€-8.50m,24.3,10.0,8.0
Standard Liège,31.0,Maurice Dufrasne Stadion,€-1.20m,23.4,17.0,10.0
West Ham United,23.0,London Stadium,+€118.60m,27.8,17.0,13.0
Leicester City,25.0,King Power Stadium,+€26.00m,27.1,14.0,11.0
FC Schalke 04,27.0,Veltins-Arena,+€10.30m,26.4,12.0,4.0
Zorya Lugansk,30.0,Valeriy Lobanovsky Stadion,€-600k,23.8,2.0,2.0
Torino FC,28.0,Stadio Olimpico Grande Torino,€-23.85m,24.5,21.0,15.0
Vitória Guimarães SC,32.0,Estádio D. Afonso Henriques,+€10.05m,24.6,11.0,3.0
Celta de Vigo,25.0,Abanca Balaídos,+€8.00m,25.4,9.0,6.0
AS Saint-Étienne,29.0,Stade Geoffroy-Guichard,+€12.85m,25.1,8.0,3.0
St. Johnstone FC,20.0,McDiarmid Park,+-0,27.1,8.0,2.0
Aalborg BK,27.0,Aalborg Portland Park,+€350k,24.5,10.0,0.0
Southampton FC,29.0,St Mary's Stadium,+€2.40m,24.5,20.0,13.0
Twente Enschede FC,21.0,De Grolsch Veste,+€9.10m,24.2,9.0,2.0
TSG 1899 Hoffenheim,29.0,PreZero Arena,+€13.70m,25.1,13.0,10.0
Motherwell FC,22.0,Fir Park,+€586k,26.3,13.0,2.0
Atromitos Athens,26.0,Stadio Peristeriou,+-0,24.5,10.0,1.0
Asteras Tripolis,30.0,Gipedo Theodoros Kolokotronis,+€100k,26.0,19.0,0.0
SC Heerenveen,19.0,Abe Lenstra Stadion,+€4.30m,24.5,10.0,1.0
FK Rostov,31.0,Rostov Arena,+-0,24.4,4.0,7.0
SC Freiburg,25.0,Europa-Park Stadion,+€34.30m,25.8,9.0,9.0
Udinese Calcio,30.0,Dacia Arena,€-3.99m,24.3,23.0,8.0
Dynamo Moscow,26.0,VTB-Arena,+€12.25m,25.2,10.0,10.0
UC Sampdoria,33.0,Luigi Ferraris,+€1.75m,24.3,5.0,4.0
1.FSV Mainz 05,29.0,Mewa Arena,+€6.05m,25.1,12.0,6.0
FC Nordsjaelland,30.0,Right to Dream Park,€-2.95m,21.9,15.0,5.0
Akhmat Grozny,25.0,Akhmat-Arena,+€200k,26.6,9.0,2.0
FC Girondins Bordeaux,26.0,Matmut Atlantique,+€12.70m,22.7,13.0,6.0
Montpellier HSC,24.0,Stade de la Mosson,+€6.30m,25.1,10.0,5.0
Randers FC,25.0,Cepheus Park Randers,+€1.25m,24.8,10.0,2.0
US Sassuolo,29.0,Mapei Stadium - Città del Tricolore,+€45.92m,25.2,18.0,8.0
Newcastle United,31.0,St James' Park,€-71.40m,27.3,18.0,14.0
RSC Charleroi,28.0,Stade du Pays de Charleroi,+€2.60m,23.6,17.0,7.0
RCD Espanyol Barcelona,26.0,RCDE Stadium,+€5.50m,25.4,6.0,4.0
Rio Ave FC,26.0,Estádio dos Arcos,+-0,27.2,12.0,0.0
Kasimpasa,27.0,Recep Tayyip Erdoğan Stadyumu,€-1.00m,23.6,9.0,2.0
FC Groningen,29.0,Euroborg,€-586k,22.9,10.0,1.0
Crystal Palace,25.0,Selhurst Park,+-0,26.2,12.0,8.0
Rubin Kazan,33.0,Ak Bars Arena,€-2.81m,25.7,10.0,3.0
SV Zulte Waregem,25.0,Elindus Arena,+€4.00m,25.2,13.0,3.0
Heracles Almelo,30.0,Erve Asito,+-0,23.8,15.0,1.0
PEC Zwolle,28.0,MAC³PARK stadion,+€4.75m,25.1,12.0,0.0
Sivasspor,28.0,Yeni 4 Eylül Stadı,+€400k,27.0,9.0,2.0
Vorskla Poltava,25.0,Vorskla im. Oleksiy Butovskyi,+€1.00m,24.0,8.0,2.0
Hibernian FC,26.0,Easter Road Stadium,+€592k,26.2,19.0,4.0
Heart of Midlothian FC,24.0,Tynecastle Park,+€150k,26.8,13.0,8.0
CS Marítimo,29.0,Estádio do Marítimo,+€200k,27.2,19.0,2.0
FC Augsburg,35.0,WWK ARENA,+€1.45m,24.1,20.0,7.0
Getafe CF,26.0,Coliseum Alfonso Pérez,€-7.50m,27.4,14.0,7.0
Konyaspor,28.0,Medaş Konya Büyükşehir Stadyumu,+-0,25.0,8.0,3.0
SönderjyskE,30.0,Sydbank Park,+€1.80m,24.0,9.0,1.0
SV Werder Bremen,26.0,Wohninvest-Weserstadion,+€4.55m,26.2,10.0,7.0
Odense Boldklub,25.0,Nature Energy Park,+€8.59m,23.6,14.0,5.0
Hertha BSC,36.0,Olympiastadion Berlin,+€6.70m,24.1,14.0,7.0
FC Nantes,29.0,Stade de la Beaujoire,+€6.35m,25.0,10.0,7.0
Bologna FC 1909,31.0,Stadio Renato Dall’Ara,€-15.50m,24.3,23.0,7.0
Kilmarnock FC,23.0,"BBSP Stadium, Rugby Park",+-0,24.5,10.0,1.0
Antalyaspor,26.0,Corendon Airlines Park Antalya Stadı,+€425k,25.8,11.0,4.0
PAS Giannina,30.0,Stadio Zosimades,+-0,25.3,14.0,0.0
Aarhus GF,32.0,Ceres Park,+€6.33m,23.9,12.0,3.0
Levante UD,23.0,Ciutat de València,+€7.80m,27.5,6.0,0.0
KV Kortrijk,24.0,Guldensporenstadion,+€6.00m,24.0,13.0,5.0
FC Paços de Ferreira,32.0,Estádio Capital do Móvel,+-0,25.5,17.0,1.0
Genoa CFC,31.0,Luigi Ferraris,€-23.70m,26.5,17.0,5.0
KV Mechelen,28.0,AFAS Stadion,€-400k,24.2,8.0,2.0
Ural Yekaterinburg,26.0,Yekaterinburg Arena,€-670k,27.5,12.0,1.0
VfB Stuttgart,34.0,Mercedes-Benz Arena,€-13.45m,23.5,18.0,10.0
Royal Antwerp FC,30.0,De Bosuil,+€1.85m,24.6,16.0,5.0
Panionios Athens,34.0,Stadio Neas Smyrnis,+-0,23.5,4.0,0.0
Cagliari Calcio,31.0,Unipol Domus,+€2.60m,26.2,13.0,5.0
Granada CF,26.0,Nuevo Los Cármenes,€-3.70m,27.0,7.0,3.0
Kayserispor,26.0,RHG Enertürk Enerji Stadyumu,+-0,23.8,11.0,3.0
Ross County FC,29.0,Global Energy Stadium,€-70k,24.8,14.0,1.0
KV Oostende,26.0,Diaz Arena,+-0,23.3,14.0,2.0
Dundee United FC,25.0,Tannadice Park,+€350k,24.7,8.0,2.0
Rayo Vallecano,25.0,Campo de Fútbol de Vallecas,+€2.50m,28.2,10.0,5.0
Willem II Tilburg,27.0,Koning Willem II Stadion,+€385k,25.9,7.0,0.0
Stade Reims,32.0,Stade Auguste-Delaune,+€11.05m,24.3,23.0,10.0
Hellas Verona,30.0,Marcantonio Bentegodi,+€43.46m,25.7,18.0,7.0
Alanyaspor,32.0,Kırbıyık Holding Stadyumu,€-1.50m,25.2,13.0,5.0
1.FC Köln,27.0,RheinEnergieSTADION,+€200k,24.9,9.0,6.0
GD Estoril Praia,27.0,Estádio António Coimbra da Mota,+€8.00m,23.6,14.0,2.0
Moreirense FC,23.0,E. C. J. de Almeida Freitas,€-1.00m,25.4,16.0,0.0
Aston Villa,28.0,Villa Park,€-85.10m,26.2,18.0,13.0
Panetolikos GFS,31.0,Gipedo Panetolikou,+-0,24.9,12.0,4.0
ADO Den Haag,34.0,Bingoal Stadion,+-0,23.5,9.0,4.0
FC Lorient,34.0,Stade du Moustoir,+€38.00m,24.1,18.0,10.0
Wolverhampton Wanderers,28.0,Molineux Stadium,+€43.30m,25.6,24.0,15.0
Inverness Caledonian Thistle FC,26.0,Tulloch Caledonian Stadium,+-0,24.5,9.0,0.0
CA Osasuna,24.0,El Sadar,+-0,28.2,4.0,3.0
Aris Thessaloniki,28.0,"Gipedo ""Kleanthis Vikelidis""",+€2.15m,27.9,25.0,5.0
Esbjerg fB,27.0,Blue Water Arena,+-0,22.7,10.0,2.0
Boavista FC,31.0,Estádio do Bessa Sec. XXI,€-2.50m,23.5,14.0,4.0
SD Eibar,26.0,Ipurua,+€2.60m,28.3,5.0,0.0
FC Toulouse,30.0,Stadium Municipal,€-3.50m,22.8,23.0,8.0
Burnley FC,32.0,Turf Moor,€-63.40m,24.7,24.0,15.0
Deportivo Alavés,21.0,Mendizorroza,€-800k,25.5,10.0,4.0
Krylya Sovetov Samara,27.0,Solidarnost Samara Arena,€-1.00m,24.9,7.0,3.0
Brighton & Hove Albion,35.0,AMEX Stadium,€-30.30m,24.7,27.0,17.0
Bursaspor,26.0,Bursa Büyükşehir Belediye Stadyumu,+-0,21.4,0.0,0.0
St. Mirren FC,23.0,The SMISA Stadium,€-146k,26.0,17.0,5.0
FK Oleksandriya,22.0,KSK Nika,+€730k,23.9,1.0,2.0
Genclerbirligi Ankara,34.0,Eryaman Stadyumu,+€195k,26.1,10.0,1.0
Swansea City,22.0,Swansea.com Stadium,+€8.35m,24.8,17.0,4.0
OFI Crete FC,31.0,Gipedo Theodoros Vardinogiannis,+-0,27.3,18.0,4.0
Málaga CF,27.0,La Rosaleda,+€950k,27.9,8.0,0.0
APO Levadiakos,31.0,Stadio Livadias,+-0,27.5,17.0,0.0
Sint-Truidense VV,30.0,Daio Wasabi Stayen Stadium,€-60k,23.2,12.0,3.0
Angers SCO,27.0,Stade Raymond Kopa,+€3.50m,24.2,12.0,5.0
Chornomorets Odessa,21.0,Stadion Chornomorets (2011),+-0,25.1,5.0,0.0
1.FC Union Berlin,32.0,Stadion An der Alten Försterei,€-13.10m,25.8,19.0,12.0
AFC Bournemouth,27.0,Vitality Stadium,€-69.69m,26.0,18.0,12.0
Caykur Rizespor,27.0,Çaykur Didi,+-0,25.3,6.0,0.0
Stoke City,24.0,bet365 Stadium,+€17.00m,26.7,9.0,6.0
Hannover 96,28.0,Heinz-von-Heiden-Arena,€-300k,25.0,6.0,1.0
West Bromwich Albion,25.0,The Hawthorns,€-1.35m,27.8,8.0,4.0
Hamburger SV,30.0,Volksparkstadion,€-6.00m,23.6,15.0,4.0
